config_id,strategy,lookback_col,top_pct,rebalance_days,sharpe,sortino,max_dd,calmar,cagr,turnover,n_position_rows,error,z_col,entry_z,exit_z,max_holding_days
mom_000,momentum,mom_63d,0.1,5.0,-0.22712573945074918,-0.208813195285233,-0.8005846945712156,-0.08580576880764518,-0.06869478521331696,0.20487489790750696,391550,,,,,
mom_001,momentum,mom_63d,0.1,21.0,-0.028434280697386773,-0.026066970621539513,-0.6941055391531015,-0.038447001274301326,-0.0266862765483189,0.0986524735935986,391398,,,,,
mom_002,momentum,mom_63d,0.1,63.0,0.13619210359854073,0.12755897134738703,-0.5304639585171788,0.014876636270886668,0.007891519365674782,0.05324611063743803,391230,,,,,
mom_003,momentum,mom_63d,0.2,5.0,-0.2749141172338417,-0.25146086981827737,-0.7416677485981364,-0.07853806622066037,-0.05824915075312853,0.1714914401629804,779550,,,,,
mom_004,momentum,mom_63d,0.2,21.0,-0.0874275694830877,-0.07955878389300759,-0.6040832635142932,-0.04378227469893288,-0.026448139384210645,0.08529767768288025,779268,,,,,
mom_005,momentum,mom_63d,0.2,63.0,0.003454191767071594,0.0032095432618564697,-0.5079308245818202,-0.020457603673223693,-0.010391047502708584,0.048688758698341134,778680,,,,,
mom_006,momentum,mom_63d,0.3,5.0,-0.26794577936875447,-0.2442067351759655,-0.6637387570344495,-0.0687936168603733,-0.04566098974680832,0.14328918750756445,1166090,,,,,
mom_007,momentum,mom_63d,0.3,21.0,-0.04590515373127497,-0.04224141239104398,-0.48362344294915816,-0.030597016533541268,-0.014797434479923544,0.07225747882949903,1165752,,,,,
mom_008,momentum,mom_63d,0.3,63.0,-0.010806431636146729,-0.010080593355018357,-0.44691194355663366,-0.019862887117098414,-0.008876961486148471,0.04352188248355136,1164996,,,,,
mom_009,momentum,mom_126d,0.1,5.0,-0.049567545829144306,-0.04585052246604691,-0.6724705824208415,-0.05300293862892361,-0.03564291700980837,0.1475219892068997,391550,,,,,
mom_010,momentum,mom_126d,0.1,21.0,0.026749765371124973,0.02453142650152249,-0.6280345925305775,-0.02892340520370455,-0.01816489900170537,0.07098202439902448,391398,,,,,
mom_011,momentum,mom_126d,0.1,63.0,0.27040329501275,0.25210078865781166,-0.48117853301408,0.07227555722960753,0.034777446600517736,0.0390323651530054,391230,,,,,
mom_012,momentum,mom_126d,0.2,5.0,-0.15418754697764656,-0.14019409367921493,-0.6210755075775576,-0.06633003729852473,-0.041195961582819574,0.121100585382105,779550,,,,,
mom_013,momentum,mom_126d,0.2,21.0,-0.03166347231015332,-0.028796111539140076,-0.537556088616546,-0.03630930860730344,-0.019518289915313125,0.0597112869892977,779268,,,,,
mom_014,momentum,mom_126d,0.2,63.0,0.1796643270473239,0.16746910010524038,-0.3957865352190615,0.04033295375700464,0.015963240022635494,0.0338049478755149,778680,,,,,
mom_015,momentum,mom_126d,0.3,5.0,-0.12012944123564126,-0.10910306721866762,-0.5066249452016931,-0.053441983858102886,-0.02707504214358114,0.10174189945497213,1166090,,,,,
mom_016,momentum,mom_126d,0.3,21.0,-0.04195700702420345,-0.03819905135482617,-0.4460107321439867,-0.03438806173501909,-0.01533744459144848,0.050770422954858875,1165752,,,,,
mom_017,momentum,mom_126d,0.3,63.0,0.13728335394109567,0.12834604513461137,-0.3518818825387461,0.0267318825807204,0.009406465166308609,0.029517697104118504,1164996,,,,,
mom_018,momentum,mom_252d,0.1,5.0,0.134376457931289,0.1206779974507612,-0.6927110815265315,0.005436196142786131,0.0037657133094597395,0.10394888991187726,391550,,,,,
mom_019,momentum,mom_252d,0.1,21.0,0.21051015683821836,0.1894721058983555,-0.6599250924763134,0.03311772284314422,0.021855216309866865,0.05015683256891118,391398,,,,,
mom_020,momentum,mom_252d,0.1,63.0,0.21622925821205943,0.19635588660395092,-0.5031784455253774,0.04628128927277262,0.02328774719318405,0.028436350963371944,391230,,,,,
mom_021,momentum,mom_252d,0.2,5.0,0.10290547939168823,0.0920899456684599,-0.5534871884462607,0.003864509381076834,0.002138956432056416,0.08722032856186322,779550,,,,,
mom_022,momentum,mom_252d,0.2,21.0,0.157605663829092,0.1417077194552613,-0.5361179845282844,0.022717615707422693,0.012179322346351551,0.04247965752676383,779268,,,,,
mom_023,momentum,mom_252d,0.2,63.0,0.16350221878631482,0.1484213695708103,-0.4124483936714355,0.032268446846291654,0.013309069068025092,0.024401024386950722,778680,,,,,
mom_024,momentum,mom_252d,0.3,5.0,0.041024856441983386,0.036473973940805836,-0.49496601077650926,-0.010161509664929626,-0.00502960190231716,0.07346851498972086,1166090,,,,,
mom_025,momentum,mom_252d,0.3,21.0,0.10514031687074563,0.0947578691288373,-0.4654687764979314,0.010031517726275656,0.00466935828246684,0.035813382731244806,1165752,,,,,
mom_026,momentum,mom_252d,0.3,63.0,0.15831818884314178,0.14369411999236964,-0.31673184801782805,0.03892118218198844,0.01232757795953976,0.020919148920502593,1164996,,,,,
mr_000,mean_reversion,,,,-0.767057256236432,-0.74712912411929,-0.9188785212714565,-0.1473818233441299,-0.1354259918967451,1.757328387823294,808172,,bb_pct,1.0,0.0,5.0
mr_001,mean_reversion,,,,-0.2498745827253308,-0.26759956390668854,-0.6620990186297222,-0.06447224917184292,-0.04268701290552812,1.0272051679517724,1058809,,bb_pct,1.0,0.0,10.0
mr_002,mean_reversion,,,,-0.02974728669155384,-0.030714985169279875,-0.5523276590489804,-0.02492163226462008,-0.013764906808397148,0.735396401984685,1242218,,bb_pct,1.0,0.0,20.0
mr_003,mean_reversion,,,,-0.7032741341664934,-0.6895324136176286,-0.9165843959324529,-0.1440629928128734,-0.13204589124360888,1.8709693131656389,759711,,bb_pct,1.0,0.5,5.0
mr_004,mean_reversion,,,,-0.18218522280335944,-0.19724366976195473,-0.6872806332060872,-0.05637248478596415,-0.03874371703909796,1.2337534954198608,927016,,bb_pct,1.0,0.5,10.0
mr_005,mean_reversion,,,,-0.054021798292017954,-0.05604066340571576,-0.6348205276924377,-0.031739896231305166,-0.02014913767446036,1.0108466576824733,1023056,,bb_pct,1.0,0.5,20.0
mr_006,mean_reversion,,,,-0.7830783522309742,-0.7617181237090691,-0.9550892623086557,-0.1755513610539647,-0.16766721992631162,1.7134379435513207,355247,,bb_pct,1.5,0.0,5.0
mr_007,mean_reversion,,,,-0.24492226909610246,-0.24961016758417326,-0.6815850970543447,-0.07631026229048632,-0.052011937529503616,1.0098417947107634,567965,,bb_pct,1.5,0.0,10.0
mr_008,mean_reversion,,,,0.14341947778703482,0.15136909683099417,-0.507747661795025,0.020179624650531833,0.010246157232208786,0.6885205978816079,814325,,bb_pct,1.5,0.0,20.0
mr_009,mean_reversion,,,,-0.7605685178910299,-0.7391408386665684,-0.9563149770993419,-0.17577101921769325,-0.1680924582178963,1.7725444382073574,342332,,bb_pct,1.5,0.5,5.0
mr_010,mean_reversion,,,,-0.3019260735401605,-0.30540207233727895,-0.7531583937737933,-0.08962048943153604,-0.06749842386947691,1.1327014676869038,510374,,bb_pct,1.5,0.5,10.0
mr_011,mean_reversion,,,,-0.010219089179287277,-0.010429300476788809,-0.6219320150018035,-0.02688516347825247,-0.016720743895682455,0.8872820410389605,656383,,bb_pct,1.5,0.5,20.0
mr_012,mean_reversion,,,,-0.7051337038903943,-0.6877159660769782,-0.9842861882068844,-0.2121514420652618,-0.2088177342330102,1.5976363832163225,106628,,bb_pct,2.0,0.0,5.0
mr_013,mean_reversion,,,,-0.19258083072440219,-0.19794061361023627,-0.8145379158612275,-0.07744439618255969,-0.06308139706167337,0.9642939322947636,202925,,bb_pct,2.0,0.0,10.0
mr_014,mean_reversion,,,,0.16934964044221232,0.19052491236043093,-0.5035598445606865,0.02897765797718052,0.014591984946721759,0.6499882007261604,327832,,bb_pct,2.0,0.0,20.0
mr_015,mean_reversion,,,,-0.6576555094652473,-0.6420014230714446,-0.9812974429550756,-0.20400487410779256,-0.20018946131234894,1.624678373459903,104119,,bb_pct,2.0,0.5,5.0
mr_016,mean_reversion,,,,-0.26437288518656815,-0.26433339194842076,-0.8875179458684715,-0.09436331852795436,-0.08374913862526234,1.0380064216928528,186573,,bb_pct,2.0,0.5,10.0
mr_017,mean_reversion,,,,0.13201823263640144,0.1408171410044278,-0.5056596277480927,0.011858707605403244,0.0059964696733216805,0.7958138820182674,264973,,bb_pct,2.0,0.5,20.0
